Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,wind,size,mod,dig,tash,preprocessing
controldigTruetashTruemod0size100wind4.txt,0.1589,0.3518,0.0,0.4672,2.84941055277e-20,0.48418474431,7.44738615097e-22,4,100,0,True,True,control
controldigFalsetashFalsemod1size200wind7.txt,0.1958,0.4017,0.0,0.4631,8.50726444247e-20,0.48401337456,1.01296373143e-21,7,200,1,False,False,control
tokensdigFalsetashFalsemod1size100wind7.txt,0.133,0.3149,1.0,0.4869,3.56979889296e-22,0.483730291943,7.19548590266e-22,7,100,1,False,False,tokens
controldigFalsetashFalsemod0size200wind7.txt,0.2212,0.4296,0.0,0.4596,1.75642862767e-19,0.481649046908,1.6984940723e-21,7,200,0,False,False,control
lemmasdigFalsetashTruemod0size200wind7.txt,0.2111,0.416,1.0,0.4407,5.11140953164e-18,0.481421894619,1.19654547925e-21,7,200,0,False,True,lemmas
controldigTruetashTruemod0size100wind7.txt,0.1706,0.3676,0.0,0.461,1.02266308255e-19,0.481291174955,1.40675667596e-21,7,100,0,True,True,control
tokensdigTruetashTruemod1size200wind7.txt,0.1745,0.3739,1.0,0.4744,5.43753687147e-21,0.477491951953,2.81917224549e-21,7,200,1,True,True,tokens
tokensdigTruetashFalsemod1size100wind7.txt,0.1362,0.3202,1.0,0.4705,1.26184502947e-20,0.47742645757,2.85945857352e-21,7,100,1,True,False,tokens
tokensdigTruetashTruemod0size200wind7.txt,0.2005,0.4056,1.0,0.4475,1.36683640294e-18,0.47488727986,4.94504824783e-21,7,200,0,True,True,tokens
controldigFalsetashTruemod1size100wind4.txt,0.1516,0.3441,0.0,0.4609,1.05547813976e-19,0.473539729202,7.505254746e-21,4,100,1,False,True,control
tokensdigFalsetashTruemod1size200wind7.txt,0.1752,0.3739,1.0,0.4692,1.64313023399e-20,0.467729618929,2.26035494673e-20,7,200,1,False,True,tokens
tokensdigTruetashTruemod1size100wind7.txt,0.1326,0.3125,1.0,0.4829,8.7041296992e-22,0.467563342241,2.34059071657e-20,7,100,1,True,True,tokens
controldigTruetashTruemod0size200wind4.txt,0.2057,0.4119,0.0,0.4589,1.59549997237e-19,0.465874845649,3.7708057913e-20,4,200,0,True,True,control
controldigFalsetashFalsemod0size100wind4.txt,0.1614,0.355,0.0,0.4497,1.25494954955e-18,0.463119016416,8.51708316393e-20,4,100,0,False,False,control
controldigFalsetashTruemod0size100wind4.txt,0.1627,0.3558,0.0,0.4373,1.10529817629e-17,0.46272699983,7.23239224096e-20,4,100,0,False,True,control
controldigFalsetashFalsemod0size200wind4.txt,0.2101,0.4176,0.0,0.4414,6.23775105689e-18,0.459603089398,1.74336122688e-19,4,200,0,False,False,control
controldigFalsetashFalsemod1size100wind7.txt,0.1538,0.3452,0.0,0.4372,1.38375139101e-17,0.45731452105,2.76670550109e-19,7,100,1,False,False,control
