Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig
tokensdigTruetashFalsemod1size100wind7.txt,0.13618347841675985,0.32024875869186242,1.0,0.47049512493457263,1.2618450294717749e-20,0.47742645757020147,2.8594585735202956e-21
lemmasdigTruetashFalsemod0size100wind4.txt,0.15031317738699537,0.33745817971860714,1.0,0.40092499569909884,6.5780621318448505e-15,0.40097245056368691,6.5257683835447936e-15
tokensdigFalsetashFalsemod0size200wind4.txt,0.1863230136167697,0.38881197566842673,1.0,0.48465256026752312,5.8660801273228624e-22,0.51539710846992848,4.4849377960788154e-25
controldigTruetashFalsemod0size200wind4.txt,0.20752416515625149,0.41339980889452888,0.0,0.42193006358729007,2.2812483336927454e-16,0.43897497523324858,9.9059945815376984e-18
lemmasdigFalsetashTruemod1size200wind4.txt,0.18197448763248025,0.38127296346548389,1.0,0.44936794817477177,9.5068770460059334e-19,0.451936855566134,5.7108910136654195e-19
tokensdigTruetashTruemod0size100wind4.txt,0.12995845428791364,0.31376453201568644,1.0,0.48862479827155758,2.4164508326074052e-22,0.50009852395093635,1.7457468511540847e-23
controldigFalsetashTruemod1size100wind7.txt,0.15727180458249371,0.35144683091136164,0.0,0.47053565547879139,1.4198293948612755e-20,0.48775571983351529,3.36890511877502e-22
lemmasdigFalsetashTruemod0size200wind7.txt,0.21108510132380306,0.41596610803435585,1.0,0.44073175948166099,5.111409531635026e-18,0.4814218946185721,1.1965454792544623e-21
lemmasdigTruetashTruemod1size100wind4.txt,0.13757351028853756,0.32056033822019125,1.0,0.43813835765245368,8.3922012057121906e-18,0.44640229711046575,1.7030920359109564e-18
tokensdigFalsetashFalsemod0size100wind7.txt,0.15394732011347773,0.3456935189690386,1.0,0.50479386833053519,5.7865156879288277e-24,0.521078605051287,1.0975898198844326e-25
controldigTruetashTruemod1size100wind7.txt,0.1567861073382979,0.35213971746262351,0.0,0.48470810127569719,6.6338313011656443e-22,0.50137004622144532,1.5008117551176708e-23
controldigTruetashFalsemod1size100wind4.txt,0.14767342591458049,0.3403483430610208,0.0,0.48856489361940342,3.7028524509266668e-22,0.50359476457283647,1.1967295827664323e-23
tokensdigTruetashFalsemod1size100wind4.txt,0.12718454768595436,0.30941858743212691,1.0,0.52940982201387621,1.3272708396754453e-26,0.53149305887270226,7.7544063664167837e-27
lemmasdigFalsetashFalsemod1size200wind7.txt,0.18848715467880248,0.38784494769986516,1.0,0.40582983413465901,2.8634154720804632e-15,0.40422472682936528,3.7648478919101541e-15
tokensdigFalsetashTruemod0size200wind4.txt,0.1845698139813437,0.39048115623117585,1.0,0.52009795564525563,1.40209614596019e-25,0.56621947938247774,5.612571922420071e-31
controldigFalsetashFalsemod1size100wind4.txt,0.14892436719517976,0.34110486538076229,0.0,0.48338112094062857,1.1635658556696266e-21,0.50133719525109965,2.0258673982491026e-23
lemmasdigFalsetashTruemod1size100wind7.txt,0.14195107588070102,0.32107794237983428,1.0,0.37827982919740838,2.5719067676223728e-13,0.35334532704419247,1.0616953645491304e-11
lemmasdigFalsetashTruemod0size100wind7.txt,0.16351696517276698,0.35230339545945916,1.0,0.4184430620510301,3.1642290530353863e-16,0.41701645827768952,4.0784659946192555e-16
tokensdigTruetashFalsemod1size200wind7.txt,0.17923652040576263,0.37767970913750665,1.0,0.44868179506956896,1.0885290783420424e-18,0.45411511519590197,3.6945074942095063e-19
lemmasdigFalsetashFalsemod0size100wind7.txt,0.17430908265429768,0.36872111220077924,1.0,0.40921243656533079,1.6006157984472278e-15,0.42449199333721788,1.064213782477052e-16
controldigFalsetashTruemod0size100wind4.txt,0.16268993439510099,0.35584811583408577,0.0,0.43725514730899756,1.1052981762905521e-17,0.4627269998299039,7.2323922409550862e-20
lemmasdigTruetashFalsemod1size200wind4.txt,0.18839222180561133,0.3862593525994909,1.0,0.41018537311323011,1.3523870117746045e-15,0.40177630948183446,5.699411251897929e-15
tokensdigFalsetashFalsemod1size100wind7.txt,0.13296265095159776,0.31489897083215324,1.0,0.4868834844217042,3.56979889295893e-22,0.48373029194260142,7.1954859026605271e-22
controldigFalsetashFalsemod1size200wind4.txt,0.19103860627703667,0.39811531928026667,0.0,0.4963667068259543,6.3680829673903991e-23,0.52482576635525569,6.9608529217966578e-26
tokensdigTruetashTruemod0size100wind7.txt,0.15058526248832585,0.34028224860538725,1.0,0.47991416715122298,1.6645199875301687e-21,0.49895208994348828,2.2800929119587905e-23
controldigFalsetashTruemod1size100wind4.txt,0.15159578901645399,0.34412583929171597,0.0,0.46088492968393968,1.0554781397648983e-19,0.47353972920176407,7.5052547459969201e-21
lemmasdigTruetashFalsemod0size100wind7.txt,0.17419128474081039,0.36827304588829474,1.0,0.40123675375483864,6.2418831345044177e-15,0.41482553090284924,6.0084848795455129e-16
controldigTruetashTruemod0size200wind7.txt,0.22081075251634139,0.42666915373860925,0.0,0.41780134552462883,3.910053319604484e-16,0.43803854900346539,9.52794919675197e-18
lemmasdigFalsetashFalsemod1size200wind4.txt,0.19212810843398023,0.39203295504670083,1.0,0.40905278953406937,1.6454068315778504e-15,0.42203228385387459,1.6619339433674325e-16
controldigFalsetashTruemod0size200wind4.txt,0.21201856428508431,0.41831840009070004,0.0,0.40056648629289981,7.6357758040761527e-15,0.41268052246981179,9.6265130450383285e-16
controldigTruetashTruemod0size200wind4.txt,0.20566786191534792,0.41191846054434672,0.0,0.45885857298710475,1.5954999723667076e-19,0.46587484564885434,3.7708057912963618e-20
