Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,Scores
Google News,0.12278282592900455,0.31319338766696975,1.0,0.65045858524545697,1.0180805584945208e-43,0.6979,1.1142837518688013e-52,0.7359
5 Million,0.10030009834731707,0.26750127893560965,1.0,0.54875608671669607,4.5333117048828005e-29,0.5458,1.0361827316131742e-28,0.0452
