Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig
tokensdigTruetashFalsemod1size100wind7.txt,0.14813514095313843,0.3112896732653464,1.0,0.45278660403947218,3.5337113970641966e-13,0.45114530461814473,4.398165255963788e-13
lemmasdigTruetashFalsemod0size100wind4.txt,0.15608609197929288,0.31645907902801296,0.0,0.52134188490982558,1.4375089508484823e-17,0.46454358491074477,8.0548927478728917e-14
tokensdigFalsetashFalsemod0size200wind4.txt,0.17725809473241616,0.33766003894373359,1.0,0.45747574725254181,1.8788121875320469e-13,0.48498318452226141,3.7781853524555923e-15
controldigTruetashFalsemod0size200wind4.txt,0.2154349503170829,0.37078914990733425,1.0,0.54154847743152623,3.7161193728274067e-19,0.52327131817548267,8.8559054491468571e-18
lemmasdigFalsetashTruemod1size200wind4.txt,0.1776440337423747,0.32360074699133745,0.0,0.51818010234453493,2.4270965813095865e-17,0.53587086394339123,1.205786724495015e-18
tokensdigTruetashTruemod0size100wind4.txt,0.14846527839238013,0.30855942105214856,1.0,0.47925397393394953,8.7758970691432373e-15,0.50083205065839453,3.3761476266314685e-16
controldigFalsetashTruemod1size100wind7.txt,0.17172105997820808,0.32956015376986336,1.0,0.55265728554120319,4.9120447110546002e-20,0.51785021218433414,2.1876174887795564e-17
lemmasdigFalsetashTruemod0size200wind7.txt,0.2039929935258053,0.35538939306182987,0.0,0.49443169367121109,1.0479037052148441e-15,0.49052819148617188,1.8930392753425295e-15
lemmasdigTruetashTruemod1size100wind4.txt,0.14731004568101527,0.30086126110986161,0.0,0.53758883233926846,8.923690578131489e-19,0.51595716155020477,3.4962936450392875e-17
tokensdigFalsetashFalsemod0size100wind7.txt,0.16330919518792267,0.32326738382759296,1.0,0.44963175404146216,5.3760670959236936e-13,0.45276323344009362,3.5447690152275181e-13
controldigTruetashTruemod1size100wind7.txt,0.17276334463470841,0.33351089375393833,1.0,0.54451135534129058,2.182081707742763e-19,0.510512088416475,7.2537757459482367e-17
controldigTruetashFalsemod1size100wind4.txt,0.1685645680158821,0.32123977675805743,1.0,0.54548941333928169,1.8282779956210292e-19,0.53992535076760928,4.963552636299731e-19
tokensdigTruetashFalsemod1size100wind4.txt,0.14287508522558257,0.30210572448273465,1.0,0.4897834719653662,1.8420952777339436e-15,0.51850203620796553,1.9638980142753162e-17
lemmasdigFalsetashFalsemod1size200wind7.txt,0.19554621525207944,0.34940450410000795,0.0,0.49781436104627375,6.238644540825546e-16,0.46089344656698139,1.3305489757763321e-13
tokensdigFalsetashTruemod0size200wind4.txt,0.18428760139097886,0.34289097724250206,1.0,0.43121357942232746,5.723462755723515e-12,0.46481794255010722,6.8517419460610429e-14
controldigFalsetashFalsemod1size100wind4.txt,0.1701531592950242,0.32610343124851182,1.0,0.54005114907326923,4.8537167086631564e-19,0.50280698724856687,2.476719373075764e-16
lemmasdigFalsetashTruemod1size100wind7.txt,0.14359886624648663,0.29435689421565026,0.0,0.54789904030381442,1.4129282588631811e-19,0.54617253074604888,1.9323265224476512e-19
lemmasdigFalsetashTruemod0size100wind7.txt,0.16558418108510028,0.32317713190529018,0.0,0.53786674155194125,8.4982075296560228e-19,0.50869042711776491,1.1319039892262138e-16
tokensdigTruetashFalsemod1size200wind7.txt,0.18064667088620845,0.33675120158338884,1.0,0.42800360535022081,8.5197450699888081e-12,0.45456963577797965,2.7823081877065986e-13
lemmasdigFalsetashFalsemod0size100wind7.txt,0.17101625419052505,0.32885070535248428,0.0,0.54159918952195829,4.3899996323991934e-19,0.47432008851948881,2.0385402189825146e-14
controldigFalsetashTruemod0size100wind4.txt,0.18181682730444074,0.33432767998997787,1.0,0.52327814037263487,8.8457426246306837e-18,0.49635283750255893,6.7666354101020077e-16
lemmasdigTruetashFalsemod1size200wind4.txt,0.19018483329164873,0.34264291063575797,0.0,0.54419150467114863,2.7613519481992886e-19,0.50814951297979116,1.2339670199594043e-16
tokensdigFalsetashFalsemod1size100wind7.txt,0.14653146970874881,0.30799421950892791,1.0,0.43409488159051313,3.9904694049382498e-12,0.45998314585916605,1.3349130030777433e-13
controldigFalsetashFalsemod1size200wind4.txt,0.19841946056118911,0.35358738267068546,1.0,0.59889654647866608,4.5332221784398272e-24,0.5760386804497778,5.3788577176896056e-22
tokensdigTruetashTruemod0size100wind7.txt,0.15124896880021022,0.31050818522540558,1.0,0.48354060316558006,4.6782849984475697e-15,0.51289435567837027,4.9309469395479991e-17
controldigFalsetashTruemod1size100wind4.txt,0.1647924938312238,0.31955489126842312,1.0,0.58938853742064623,3.4609091676921038e-23,0.57332029417205499,9.2618761699511425e-22
lemmasdigTruetashFalsemod0size100wind7.txt,0.16986252887336908,0.32793382064932769,0.0,0.54285996678939619,3.5055662594184313e-19,0.49290693922411499,1.3214021458262355e-15
controldigTruetashTruemod0size200wind7.txt,0.22615585269488914,0.37741429274249888,1.0,0.5435039764574946,2.6166254125814355e-19,0.55288824586247853,4.7058944918504145e-20
lemmasdigFalsetashFalsemod1size200wind4.txt,0.190577947326321,0.34461573784156385,0.0,0.53049607835290435,3.0583141802306491e-18,0.49458917689558857,1.0230353724544017e-15
controldigFalsetashTruemod0size200wind4.txt,0.21542033694830678,0.36738767422597035,1.0,0.55378133957175091,3.9857010027626708e-20,0.54564459622477424,1.7775801603659118e-19
