method,bs,bp,ns,np
results_0,-0.093631914230652966,-0.06826638844230512,-0.093631914230652966,-0.068266388442305134
results_1,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_2_controldigFalsetashFalsemod1size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_2_tokensdigFalsetashTruemod0size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_2_lemmasdigTruetashTruemod1size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_3_controldigFalsetashFalsemod1size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_3_tokensdigFalsetashTruemod0size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
results_3_lemmasdigTruetashTruemod1size200wind4,0.060914562733731664,-0.11529624828400768,0.10179965592643478,0.01683651790184108
